node	value
n923	Cuba
n1044	SouthAfrica
n1067	SouthAfrica
n12031203	Oman
n12951295	Canada
n13501350	Canada
n13831383	Greenland
n13911391	Canada
n13971397	Canada
n14031403	Canada
n1556	Chad
n1573	Mali
n18861886	Taiwan
n19921992	Thailand
n2008	Thailand
n23522352	SriLanka
n23602360	SriLanka
n2397	Nepal
n150	Estonia
n157	Romania
n233233	Iran
n320	Oman
n407	Turkey
n470	SouthAfrica
n537	Zimbabwe
n552	Zimbabwe
n562562	CentralAfricanRepublic
n579	CentralAfricanRepublic
n608608	Tanzania
n622622	Tanzania
n631631	Zambia
n754754	Morocco
n801	USA
n810810	USA
n817817	USA
n952	Mexico
n982982	CzechRepublic
n10161016	USA
n10671067	SouthAfrica
n1248	Pakistan
n1296	Canada
n1306	Canada
n13151315	Canada
n1384	USA
n14421442	Greenland
n1446	Canada
n15731573	Mali
n1630	Ghana
n1640	Guinea
n17241724	Philippines
n1793	Philippines
n1891	Taiwan
n19091909	Taiwan
n1934	Cambodia
n1937	Cambodia
n19961996	Laos
n21212121	China
n19	Slovenia
n6767	Serbia
n146146	Latvia
n234	Iran
n256	Russia
n320320	Oman
n335	UnitedArabEmirates
n508	SouthAfrica
n563	CentralAfricanRepublic
n672672	Tanzania
n683	Zambia
n732	Tanzania
n770	Tanzania
n779779	Gabon
n833833	France
n879	Brazil
n883	Brazil
n929	Cuba
n955955	Mexico
n996996	USA
n10621062	SouthAfrica
n1068	SouthAfrica
n1074	Zimbabwe
n12571257	Afghanistan
n12771277	Nepal
n1374	Canada
n1443	Greenland
n1470	SouthKorea
n1488	SouthKorea
n14961496	China
n15021502	China
n1538	Nigeria
n1560	Nigeria
n1594	Senegal
n16071607	Mali
n16201620	BurkinaFaso
n16931693	Philippines
n17341734	Philippines
n1774	Philippines
n1881	Taiwan
n18911891	Taiwan
n19521952	Thailand
n1967	Cambodia
n1980	Cambodia
n1997	Laos
n1998	Laos
n2006	Cambodia
n2170	China
n2321	Malaysia
n2322	Indonesia
n2326	VietNam
n2353	SriLanka
n2356	SriLanka
n3939	France
n105	Romania
n117	Hungary
n183183	Mongolia
n221	Russia
n263	Ukraine
n270	Azerbaijan
n280	Russia
n297	Hungary
n305	Serbia
n360360	Iran
n374	Israel
n376376	Israel
n389	Iran
n395395	Turkey
n407407	Turkey
n430430	Turkey
n450	Grenada
n463463	Zambia
n491	Namibia
n539539	Zambia
n546	Zimbabwe
n623	Tanzania
n638	Zambia
n664	Kenya
n673	Tanzania
n773	Cameroon
n780	Gabon
n822	USA
n834	France
n887887	Brazil
n919919	Cuba
n956	Mexico
n963	Mexico
n983	CzechRepublic
n987987	India
n1000	Mexico
n1017	USA
n1055	SouthAfrica
n12331233	Bhutan
n1238	Bhutan
n1429	Russia
n1434	Greenland
n1520	Nigeria
n15221522	Nigeria
n1525	Nigeria
n15381538	Nigeria
n1546	Chad
n1568	Mauritania
n1585	Mauritania
n1608	Mali
n1625	Niger
n1697	Philippines
n17931793	Philippines
n18971897	Taiwan
n1910	Taiwan
n19151915	Taiwan
n19641964	Cambodia
n19801980	Cambodia
n23262326	VietNam
n9090	Serbia
n218	Russia
n297297	Romania
n308308	Serbia
n335335	Oman
n365365	Iran
n384	Israel
n408	Turkey
n431	Georgia
n438438	Iraq
n500500	SouthAfrica
n546546	Zimbabwe
n591591	Tanzania
n664664	Kenya
n694	Zambia
n755	Spain
n770770	Tanzania
n777777	Cameroon
n798	USA
n822822	USA
n853	Brazil
n911	Cuba
n949949	Mexico
n952952	Mexico
n956956	Mexico
n1004	USA
n10071007	USA
n10171017	USA
n1028	Egypt
n1069	SouthAfrica
n12041204	Oman
n12601260	India
n13791379	Canada
n14461446	Canada
n1458	USA
n15561556	Chad
n15681568	Mauritania
n15851585	Liberia
n16081608	Mali
n16251625	Niger
n1641	Guinea
n1679	Philippines
n16971697	Philippines
n17701770	Philippines
n1887	Taiwan
n19061906	Taiwan
n19441944	Cambodia
n1970	Cambodia
n20062006	China
n20082008	Thailand
n2013	Myanmar
n23172317	Indonesia
n23532353	SriLanka
n28	Slovenia
n37	BosniaandHerzegovina
n9595	Serbia
n197	Mongolia
n200	Russia
n234234	Iran
n270270	Azerbaijan
n274274	Tajikistan
n290	Russia
n302302	DominicanRepublic
n321	Oman
n396	Turkey
n404	Turkey
n408408	Turkey
n439	Iraq
n474	SouthAfrica
n479479	SouthAfrica
n501	SouthAfrica
n512512	SouthAfrica
n563563	CentralAfricanRepublic
n566	CentralAfricanRepublic
n615615	Tanzania
n673673	Tanzania
n678678	Uganda
n700700	Madagascar
n718	Ethiopia
n755755	Spain
n791791	USA
n798798	USA
n818818	USA
n863863	Brazil
n879879	Brazil
n929929	Cuba
n934	Cuba
n957	Mexico
n963963	Mexico
n997997	USA
n1031	Egypt
n1234	Bhutan
n12381238	Bangladesh
n1398	Canada
n1418	USA
n14361436	Greenland
n14921492	SouthKorea
n1547	Chad
n1574	Mali
n1586	Liberia
n1609	Mali
n1626	Nigeria
n16301630	Ghana
n16411641	Guinea
n18781878	Taiwan
n1898	Taiwan
n1903	Taiwan
n19391939	Cambodia
n19591959	Thailand
n1968	Cambodia
n23222322	Indonesia
n2361	SriLanka
n23662366	SriLanka
n2378	India
n2828	Slovenia
n40	France
n8181	Poland
n8989	Serbia
n91	Montenegro
n105105	Romania
n112112	Hungary
n125125	Romania
n164164	Poland
n218218	Russia
n227	Russia
n229	China
n235	Iran
n256256	Russia
n260260	Russia
n330	SaudiArabia
n344	Iran
n366	Iran
n369369	Iran
n389389	Iran
n399399	Israel
n404404	Iran
n422	Georgia
n425425	Georgia
n427	Georgia
n432	Russia
n433433	Georgia
n508508	SouthAfrica
n547	Zimbabwe
n567567	CentralAfricanRepublic
n569	CentralAfricanRepublic
n579579	CentralAfricanRepublic
n599	Tanzania
n618	Tanzania
n658	Tanzania
n662	Tanzania
n679	Uganda
n687	Zambia
n694694	Zambia
n698	Madagascar
n714714	Ethiopia
n732732	Tanzania
n776776	Ghana
n799	USA
n805	USA
n843	Peru
n867	Brazil
n870	Brazil
n880	Brazil
n883883	Brazil
n894894	Brazil
n911911	Cuba
n923923	Cuba
n930	Cuba
n934934	Cuba
n941	Mexico
n953	Mexico
n998	USA
n10001000	Mexico
n1063	SouthAfrica
n11921192	India
n1258	Afghanistan
n12651265	Afghanistan
n1278	Nepal
n13681368	Canada
n1372	Canada
n13741374	Canada
n13981398	Canada
n14291429	Svalbard
n14431443	Greenland
n14521452	Russia
n14881488	SouthKorea
n1491	SouthKorea
n1539	Nigeria
n1569	Mauritania
n15711571	Mauritania
n16261626	Benin
n1680	Philippines
n17301730	Philippines
n17801780	Philippines
n17891789	Philippines
n1794	Philippines
n1892	Taiwan
n1895	Taiwan
n18981898	Taiwan
n19101910	Taiwan
n1940	Cambodia
n1960	Thailand
n19701970	Cambodia
n19721972	Cambodia
n19981998	Laos
n2001	Malaysia
n2343	SriLanka
n23562356	SriLanka
n23722372	SriLanka
n26	Slovenia
n2626	Slovenia
n3030	Slovenia
n31	BosniaandHerzegovina
n4040	France
n5555	Poland
n68	Serbia
n7272	Serbia
n7777	Serbia
n122122	Poland
n157157	Romania
n161	Bulgaria
n303	DominicanRepublic
n309	Serbia
n319319	Oman
n323323	Oman
n326326	SaudiArabia
n332	SaudiArabia
n352352	Iran
n366366	Iran
n381	Jordan
n390	Iran
n427427	Georgia
n452452	Grenada
n488	Namibia
n541	Botswana
n595	Tanzania
n623623	Tanzania
n632	Zambia
n634	Zambia
n670	Tanzania
n679679	Uganda
n687687	Zambia
n701701	Madagascar
n718718	Ethiopia
n719	Ethiopia
n720	Ethiopia
n736	Kenya
n758758	Morocco
n778778	Cameroon
n780780	Gabon
n802	USA
n805805	USA
n823	USA
n841841	Peru
n864	Brazil
n870870	Brazil
n873873	Brazil
n880880	Brazil
n910	Cuba
n915915	Cuba
n920	Cuba
n935	Cuba
n957957	Mexico
n992	USA
n10041004	USA
n10221022	USA
n10281028	Egypt
n10311031	Egypt
n10551055	SouthAfrica
n10631063	SouthAfrica
n10741074	Zimbabwe
n1079	SouthAfrica
n11581158	India
n1205	Oman
n1210	India
n12581258	Afghanistan
n1380	Canada
n13931393	Canada
n14201420	Russia
n1447	Canada
n1493	SouthKorea
n15201520	Nigeria
n15211521	Nigeria
n1532	Nigeria
n1540	Nigeria
n15461546	Chad
n15541554	CentralAfricanRepublic
n15611561	Nigeria
n15691569	Mauritania
n15861586	Liberia
n1599	Senegal
n16161616	BurkinaFaso
n16211621	BurkinaFaso
n1694	Philippines
n1790	Philippines
n1879	Taiwan
n18811881	Taiwan
n18921892	Taiwan
n19031903	Taiwan
n1986	Thailand
n19881988	Cambodia
n20012001	Malaysia
n23192319	Indonesia
n2348	SriLanka
n2367	SriLanka
n48	Poland
n58	Poland
n73	Serbia
n78	Serbia
n7979	Hungary
n8585	Croatia
n123	Poland
n147	Lithuania
n158	Romania
n187187	Mongolia
n221221	Russia
n223223	Russia
n235235	Iran
n272272	Azerbaijan
n285285	Russia
n309309	Serbia
n325	Oman
n330330	SaudiArabia
n342	Iran
n344344	Iran
n353	Iran
n359	Iran
n370	Iran
n376	Israel
n379	Israel
n412412	Turkey
n416	Turkey
n416416	Turkey
n450450	Grenada
n453	Grenada
n464	Zambia
n470470	Zambia
n472472	Zambia
n474474	Zambia
n489489	Namibia
n538	Zambia
n549	SouthAfrica
n564	CentralAfricanRepublic
n570	CentralAfricanRepublic
n612	Tanzania
n613613	Tanzania
n629629	Uganda
n638638	Zambia
n640	Tanzania
n665	Kenya
n669	Tanzania
n674	Tanzania
n683683	Zambia
n688688	Zambia
n698698	Madagascar
n716716	Ethiopia
n727727	Ethiopia
n744	Tunisia
n751	Tunisia
n759	Morocco
n781	Gabon
n793793	Canada
n806	USA
n823823	USA
n833	CzechRepublic
n835	India
n843843	Brazil
n856856	Brazil
n864864	Brazil
n867867	Brazil
n874	Brazil
n884	Brazil
n895	Brazil
n909909	Cuba
n910910	Cuba
n916	Cuba
n924	Cuba
n930930	Cuba
n937	Colombia
n941941	Mexico
n953953	Mexico
n958	Mexico
n960960	Mexico
n988	India
n10101010	USA
n1018	USA
n1075	Botswana
n10811081	SouthAfrica
n1223	India
n1235	Bangladesh
n12411241	Bhutan
n1249	Pakistan
n1251	Pakistan
n12531253	Afghanistan
n13101310	Canada
n13241324	Canada
n1369	Canada
n14011401	USA
n1405	Canada
n1430	Svalbard
n1437	Greenland
n14471447	Canada
n1450	Greenland
n1453	Russia
n14761476	SouthKorea
n14861486	SouthKorea
n1524	Nigeria
n15251525	Nigeria
n15281528	Nigeria
n1530	Nigeria
n1562	Nigeria
n1572	Mauritania
n15941594	Senegal
n1597	Senegal
n1601	Senegal
n1627	Niger
n1882	Taiwan
n18821882	Taiwan
n1883	Taiwan
n18951895	Taiwan
n1905	Taiwan
n1911	Taiwan
n1918	Taiwan
n1930	Cambodia
n1931	Cambodia
n1953	Thailand
n19561956	Thailand
n1962	Cambodia
n19681968	Cambodia
n1981	Cambodia
n19821982	VietNam
n19861986	Thailand
n1994	Thailand
n2329	China
n2357	SriLanka
n23832383	India
n23972397	Nepal
n2222	Italy
n3131	BosniaandHerzegovina
n4141	France
n56	Germany
n7373	Serbia
n7575	Serbia
n7878	Serbia
n80	Hungary
n86	Croatia
n8787	BosniaandHerzegovina
n90	Serbia
n107107	Hungary
n108	Hungary
n124124	Ukraine
n138138	Latvia
n139	Latvia
n144144	Estonia
n149	Estonia
n151	Ukraine
n159159	Romania
n167	Poland
n168168	Estonia
n197197	Mongolia
n213	Russia
n215215	Russia
n223	Russia
n224	Mongolia
n227227	Russia
n236	Iran
n263263	Ukraine
n271	Azerbaijan
n273	Tajikistan
n293	Romania
n331	Israel
n342342	Iran
n353353	Iran
n377	Israel
n379379	Israel
n387	Israel
n409	Turkey
n410410	Turkey
n418	Montenegro
n434	Georgia
n445445	Iran
n452	Grenada
n465	Zambia
n475	Zambia
n488488	Namibia
n509	SouthAfrica
n511	SouthAfrica
n534534	SouthAfrica
n547547	Zimbabwe
n549549	Tanzania
n552552	Zimbabwe
n564564	CentralAfricanRepublic
n569569	CentralAfricanRepublic
n576	CentralAfricanRepublic
n599599	Tanzania
n614	Tanzania
n625625	Tanzania
n632632	Zambia
n634634	Zambia
n639	Zambia
n640640	Tanzania
n665665	Kenya
n674674	Tanzania
n684	Zambia
n684684	Zambia
n685685	Zambia
n688	Zambia
n695695	Zambia
n701	Madagascar
n724724	Ethiopia
n725	Ethiopia
n728	Ethiopia
n736736	Uganda
n741741	Tunisia
n744744	Tunisia
n756	Spain
n767	Cameroon
n768	Cameroon
n782	Gabon
n794	Canada
n802802	USA
n806806	USA
n815	USA
n824	USA
n825825	USA
n844	Brazil
n865	Brazil
n868	Brazil
n884884	Brazil
n897897	Brazil
n917917	Cuba
n922	Cuba
n931	Cuba
n935935	Cuba
n983983	Paraguay
n998998	USA
n1001	Mexico
n1011	USA
n10191019	USA
n1021	USA
n1029	Egypt
n1032	Egypt
n10341034	Egypt
n10561056	SouthAfrica
n1066	SouthAfrica
n10761076	Zimbabwe
n10771077	Zimbabwe
n10791079	SouthAfrica
n1193	India
n1230	UnitedKingdom
n12401240	Bangladesh
n1244	Afghanistan
n1254	Afghanistan
n1259	Afghanistan
n12721272	Nepal
n1274	Nepal
n12811281	Iran
n1339	Canada
n1348	Canada
n13751375	Canada
n1378	Canada
n13871387	Canada
n14081408	Canada
n1422	Greenland
n14341434	Greenland
n14451445	Greenland
n1489	SouthKorea
n1501	China
n1521	Nigeria
n1529	Nigeria
n15491549	Cameroon
n1557	Chad
n15621562	Nigeria
n1570	Mauritania
n1582	Liberia
n15831583	Mali
n15991599	Senegal
n1604	Senegal
n1617	BurkinaFaso
n16221622	BurkinaFaso
n1763	Philippines
n17941794	Philippines
n18801880	Taiwan
n18941894	Taiwan
n1896	Taiwan
n1899	Taiwan
n1907	Taiwan
n1908	Taiwan
n19161916	Taiwan
n19311931	Cambodia
n1945	Cambodia
n1955	Thailand
n19621962	Cambodia
n1971	Cambodia
n19731973	Cambodia
n19811981	Cambodia
n1989	Cambodia
n2004	Thailand
n2012	Thailand
n20132013	Myanmar
n21452145	China
n22682268	China
n22992299	China
n23232323	Indonesia
n23242324	Indonesia
n23322332	China
n2346	SriLanka
n23612361	SriLanka
n23672367	SriLanka
n23702370	SriLanka
n2373	SriLanka
n2374	SriLanka
n2391	India
n2398	Nepal
n29	Croatia
n32	BosniaandHerzegovina
n38	Ethiopia
n4646	Poland
n53	Poland
n64	Bulgaria
n6464	Serbia
n6565	Serbia
n69	Serbia
n7474	Serbia
n76	Hungary
n8080	Hungary
n82	Serbia
n106	Croatia
n108108	Romania
n112	Ukraine
n119119	Romania
n125	Ukraine
n141141	Estonia
n142	Latvia
n152	Latvia
n154	Finland
n162	Ukraine
n163	Ukraine
n165165	Poland
n167167	Latvia
n169	Estonia
n200200	Russia
n201	Russia
n231	Russia
n236236	Iran
n238	Iran
n253	Russia
n264	Ukraine
n265265	Russia
n271271	Azerbaijan
n287	Romania
n292	Russia
n293293	Romania
n300	Romania
n300300	Romania
n301301	Romania
n310	Serbia
n321321	Oman
n322322	Oman
n324	Oman
n325325	Oman
n332332	Jordan
n333333	SaudiArabia
n334334	UnitedArabEmirates
n343	Iran
n345	Iran
n349	Iran
n354	Iran
n359359	Iran
n364	Iran
n367	Iran
n368	Iran
n374374	Israel
n381381	Lebanon
n383	Israel
n385	Israel
n392392	Iran
n394	Iraq
n398	Georgia
n399	Iraq
n400	Israel
n409409	Turkey
n411	Turkey
n413	Turkey
n414414	Turkey
n426	Azerbaijan
n426426	Georgia
n428428	Georgia
n431431	Georgia
n444444	Iraq
n446	Iran
n464464	Zambia
n465465	Zambia
n466	Zambia
n469	Zambia
n471	Zambia
n475475	Zambia
n476476	Zambia
n490	Namibia
n539	Zimbabwe
n542542	Zambia
n548548	Zimbabwe
n553	Zimbabwe
n553553	Zimbabwe
n559	Namibia
n565	CentralAfricanRepublic
n566566	CentralAfricanRepublic
n568	CentralAfricanRepublic
n572	CentralAfricanRepublic
n572572	CentralAfricanRepublic
n573	CentralAfricanRepublic
n580	CentralAfricanRepublic
n610	Tanzania
n624	Tanzania
n624624	Tanzania
n626	Tanzania
n628628	Tanzania
n630630	Uganda
n633	Zambia
n635	Zambia
n639639	Zambia
n641	Tanzania
n671	Tanzania
n676676	Tanzania
n690	Zimbabwe
n691691	CentralAfricanRepublic
n702	Madagascar
n702702	Madagascar
n703703	Madagascar
n717	Ethiopia
n721	Ethiopia
n721721	Ethiopia
n722722	Ethiopia
n742	Tunisia
n759759	Morocco
n767767	Cameroon
n768768	Cameroon
n769	Cameroon
n774	Cameroon
n774774	Cameroon
n778	Cameroon
n795795	Canada
n797	USA
n812	USA
n824824	USA
n836	Mexico
n853853	Brazil
n855855	Brazil
n857857	Brazil
n858858	Brazil
n871871	Brazil
n873	Brazil
n881	Brazil
n882	Brazil
n886	Brazil
n888	Brazil
n890890	Brazil
n892892	Brazil
n893893	Brazil
n895895	Brazil
n908908	Cuba
n912	Cuba
n913	Cuba
n919	Cuba
n920920	Cuba
n921921	Cuba
n922922	Cuba
n924924	Cuba
n926926	Cuba
n931931	Cuba
n933	Cuba
n937937	Colombia
n940	Cuba
n942	Mexico
n950	Mexico
n958958	Mexico
n961	Mexico
n977977	Mexico
n10011001	Mexico
n1002	Mexico
n10021002	Mexico
n10061006	USA
n1013	Mexico
n1020	USA
n10211021	USA
n10241024	USA
n1030	Egypt
n10321032	Egypt
n1036	Egypt
n10371037	Egypt
n10381038	Mexico
n10491049	SouthAfrica
n1058	SouthAfrica
n1061	SouthAfrica
n1064	SouthAfrica
n1065	SouthAfrica
n1082	SouthAfrica
n12051205	Oman
n12511251	Pakistan
n1256	Afghanistan
n12761276	Nepal
n1279	Nepal
n1280	Nepal
n12801280	Nepal
n1282	Iran
n13141314	Greenland
n1345	Canada
n13781378	Canada
n1381	Canada
n13821382	Canada
n1396	Canada
n13961396	Canada
n14071407	Canada
n1435	Greenland
n14351435	Greenland
n14371437	Greenland
n1439	Greenland
n1444	Greenland
n1448	Greenland
n14801480	SouthKorea
n14851485	SouthKorea
n14891489	SouthKorea
n14931493	SouthKorea
n1500	China
n1531	Nigeria
n15321532	Nigeria
n15331533	Chad
n15391539	Nigeria
n1541	Nigeria
n15471547	Chad
n15571557	Chad
n1558	Nigeria
n15601560	Nigeria
n15741574	Mali
n1576	Mali
n15821582	Liberia
n1584	Mali
n1587	Liberia
n1588	BurkinaFaso
n1595	Senegal
n15971597	Senegal
n1602	Senegal
n16091609	Mali
n1610	Mali
n16111611	Mauritania
n1618	Nigeria
n16181618	BurkinaFaso
n16901690	Philippines
n1752	Philippines
n18791879	Taiwan
n1885	Taiwan
n1893	Taiwan
n19081908	Taiwan
n1912	Taiwan
n19181918	Taiwan
n1920	Taiwan
n1933	Cambodia
n19351935	Cambodia
n1936	Cambodia
n19371937	Cambodia
n19411941	Cambodia
n19461946	Cambodia
n1947	Cambodia
n1954	Thailand
n19551955	Thailand
n1956	Thailand
n1957	Thailand
n1961	Thailand
n1963	Cambodia
n19711971	Cambodia
n1974	VietNam
n1984	VietNam
n1987	Thailand
n1991	Thailand
n1993	Thailand
n19941994	Laos
n1999	Laos
n2002	Malaysia
n20122012	Thailand
n2319	Indonesia
n23212321	Indonesia
n2325	Indonesia
n2333	China
n2344	SriLanka
n23482348	SriLanka
n23502350	SriLanka
n2354	SriLanka
n23572357	SriLanka
n2359	SriLanka
n2362	SriLanka
n2365	SriLanka
n23692369	SriLanka
n2371	SriLanka
n23732373	SriLanka
n23742374	SriLanka
n23982398	Nepal
n20	Slovenia
n21	Slovenia
n23	Slovenia
n2424	Italy
n3232	BosniaandHerzegovina
n3333	BosniaandHerzegovina
n34	BosniaandHerzegovina
n3434	BosniaandHerzegovina
n36	Croatia
n43	Germany
n47	Poland
n4747	Poland
n4848	Poland
n49	Poland
n5151	Poland
n52	Poland
n5252	Poland
n5353	Poland
n54	Poland
n57	Germany
n5757	Poland
n5858	Poland
n65	Austria
n6666	Serbia
n67	Bulgaria
n6868	Serbia
n7171	Hungary
n72	Serbia
n74	Serbia
n79	Serbia
n81	Hungary
n8282	Serbia
n8686	Croatia
n87	Croatia
n9292	Montenegro
n96	Serbia
n9797	Macedonia
n9898	Serbia
n106106	Ukraine
n109	Hungary
n111	Hungary
n116	Hungary
n117117	Hungary
n118	Hungary
n118118	Hungary
n119	Hungary
n123123	Hungary
n127	Romania
n133	Latvia
n135	Latvia
n141	Estonia
n142142	Latvia
n145145	Lithuania
n147147	Lithuania
n148	Lithuania
n148148	Latvia
n154154	Ukraine
n158158	Romania
n159	Romania
n160	Romania
n160160	Romania
n161161	Bulgaria
n162162	Ukraine
n163163	Ukraine
n166	Poland
n169169	Estonia
n184184	Mongolia
n188	Mongolia
n188188	Mongolia
n192	Mongolia
n192192	Mongolia
n206	Mongolia
n230230	China
n231231	Russia
n237	Iran
n237237	Iran
n238238	Iran
n248248	Ukraine
n249	Ukraine
n265	Ukraine
n272	Azerbaijan
n274	Tajikistan
n281	Russia
n291291	Russia
n294	Bulgaria
n299	Hungary
n301	Romania
n302	Romania
n303303	DominicanRepublic
n304	DominicanRepublic
n310310	Serbia
n319	Oman
n322	Oman
n323	Oman
n324324	Oman
n326	UnitedArabEmirates
n328328	SaudiArabia
n331331	Qatar
n333	Jordan
n334	SaudiArabia
n343343	Iran
n345345	Iran
n346	Iran
n349349	Iran
n351	Iran
n351351	Iran
n352	Iran
n354354	Iran
n355	Iran
n357	Iran
n358358	Iran
n360	Iran
n363363	Iran
n364364	Iran
n368368	Iran
n369	Iran
n371	Iran
n375	Israel
n375375	Israel
n377377	Israel
n378	Israel
n378378	Israel
n380	Israel
n382	Israel
n382382	Israel
n385385	Israel
n386	Israel
n386386	Israel
n392	Iran
n394394	Iraq
n396396	Turkey
n397	Turkey
n398398	Georgia
n400400	Israel
n403403	Israel
n410	Turkey
n411411	Turkey
n412	Turkey
n413413	Turkey
n414	Turkey
n417	Turkey
n417417	Turkey
n423	Georgia
n423423	Georgia
n424	Georgia
n428	Georgia
n429	Georgia
n429429	Georgia
n432432	Georgia
n434434	Georgia
n439439	Iraq
n440440	Iran
n444	Iran
n447	Iraq
n451	Grenada
n451451	Grenada
n466466	Zambia
n467	Zambia
n467467	Zambia
n468	Zambia
n469469	Zambia
n472	Zambia
n473	Zambia
n473473	Zimbabwe
n476	Zambia
n489	Namibia
n490490	Namibia
n492	Namibia
n538538	Zimbabwe
n543	Zambia
n548	Zimbabwe
n554	Zimbabwe
n555555	Zimbabwe
n559559	Namibia
n567	CentralAfricanRepublic
n568568	CentralAfricanRepublic
n574	CentralAfricanRepublic
n576576	CentralAfricanRepublic
n577	CentralAfricanRepublic
n580580	CentralAfricanRepublic
n581	CentralAfricanRepublic
n581581	CentralAfricanRepublic
n582	CentralAfricanRepublic
n617617	Tanzania
n618618	Uganda
n625	Tanzania
n633633	Zambia
n635635	Zambia
n636	Zambia
n642642	Zambia
n643	Zambia
n643643	Zambia
n644644	Rwanda
n659659	Kenya
n663663	Kenya
n667667	Kenya
n677	Tanzania
n680	Uganda
n689	Zambia
n690690	Zimbabwe
n692	CentralAfricanRepublic
n692692	Uganda
n695	Zambia
n699699	Madagascar
n700	Madagascar
n703	Madagascar
n715	Ethiopia
n719719	Ethiopia
n722	Ethiopia
n723	Ethiopia
n723723	Ethiopia
n726	Ethiopia
n726726	Ethiopia
n728728	Ethiopia
n729	Somalia
n735	Kenya
n735735	Kenya
n737	Uganda
n738738	Sudan
n739	Sudan
n739739	Sudan
n742742	Tunisia
n751751	Tunisia
n752	Tunisia
n752752	Tunisia
n757757	Kenya
n758	Spain
n760	Morocco
n760760	Morocco
n773773	Cameroon
n775	Cameroon
n782782	Gabon
n794794	Canada
n796	Canada
n796796	Canada
n804804	USA
n826	USA
n827	Haiti
n832832	Germany
n835835	Iran
n836836	Mexico
n842842	Peru
n844844	Brazil
n845	Argentina
n845845	Peru
n846	Peru
n846846	Peru
n854854	Brazil
n856	Brazil
n859	Brazil
n862862	Brazil
n865865	Brazil
n868868	Brazil
n869	Brazil
n869869	Brazil
n874874	Brazil
n882882	Brazil
n886886	Brazil
n888888	Brazil
n889	Brazil
n889889	Brazil
n890	Brazil
n891891	Brazil
n892	Brazil
n893	Brazil
n894	Brazil
n896	Brazil
n896896	Brazil
n897	Brazil
n898898	Brazil
n909	Cuba
n912912	Cuba
n913913	Cuba
n914	Cuba
n917	Cuba
n918	Cuba
n918918	Cuba
n921	Cuba
n925	Cuba
n925925	Cuba
n926	Cuba
n927	Cuba
n928	Cuba
n932	Cuba
n932932	Cuba
n933933	Cuba
n936	Cuba
n938	Colombia
n938938	Colombia
n939939	Colombia
n940940	Cuba
n942942	Mexico
n943943	Mexico
n950950	Mexico
n951	Mexico
n951951	Mexico
n954	Mexico
n959	Mexico
n959959	Mexico
n960	Mexico
n962	Mexico
n966	Honduras
n967	Mexico
n967967	Mexico
n978	Mexico
n984	Paraguay
n990	Nigeria
n994	USA
n1007	USA
n1012	USA
n10131013	Mexico
n10201020	USA
n1024	USA
n10291029	Egypt
n10301030	Egypt
n1033	Egypt
n10331033	Egypt
n1034	Egypt
n1035	Egypt
n10361036	Egypt
n1037	Egypt
n1038	Egypt
n1039	Mexico
n1046	SouthAfrica
n1049	SouthAfrica
n1050	SouthAfrica
n1052	SouthAfrica
n10641064	SouthAfrica
n10651065	SouthAfrica
n10751075	Botswana
n10781078	Zimbabwe
n1081	SouthAfrica
n1083	SouthAfrica
n12091209	Pakistan
n12191219	Nepal
n12301230	UnitedKingdom
n1231	Nepal
n1236	Bangladesh
n12371237	Nepal
n12491249	Pakistan
n1250	Pakistan
n12501250	Afghanistan
n1252	Pakistan
n12521252	Pakistan
n12541254	Pakistan
n12551255	Afghanistan
n12561256	Afghanistan
n1266	Afghanistan
n12661266	Afghanistan
n12671267	Afghanistan
n1273	Nepal
n12741274	Nepal
n1275	Nepal
n12751275	Nepal
n1276	Nepal
n1277	Nepal
n12821282	Iran
n1315	Greenland
n1382	Canada
n1420	USA
n14321432	Greenland
n1436	Greenland
n1438	Greenland
n14381438	Greenland
n14441444	Greenland
n1445	Greenland
n14481448	Greenland
n1449	Greenland
n14501450	Greenland
n14701470	SouthKorea
n1471	SouthKorea
n14711471	SouthKorea
n1472	SouthKorea
n14741474	SouthKorea
n14751475	SouthKorea
n1476	SouthKorea
n1477	SouthKorea
n14771477	SouthKorea
n1478	SouthKorea
n1479	SouthKorea
n14791479	SouthKorea
n1481	SouthKorea
n1485	SouthKorea
n1487	SouthKorea
n1490	SouthKorea
n14901490	SouthKorea
n1495	SouthKorea
n15241524	Nigeria
n1526	Nigeria
n15311531	Nigeria
n15341534	Nigeria
n1535	Nigeria
n1542	Cameroon
n15421542	Cameroon
n1543	Nigeria
n1544	Nigeria
n1548	Chad
n15481548	Chad
n1555	CentralAfricanRepublic
n1559	Nigeria
n1563	Nigeria
n15701570	Mauritania
n15751575	Mali
n1583	Liberia
n15841584	Mali
n15871587	Liberia
n15951595	Senegal
n15981598	Senegal
n1600	Senegal
n16001600	Senegal
n16021602	Senegal
n16031603	Senegal
n16101610	BurkinaFaso
n1611	BurkinaFaso
n16171617	BurkinaFaso
n16191619	BurkinaFaso
n1620	Niger
n1622	BurkinaFaso
n16231623	BurkinaFaso
n1628	Niger
n16281628	BurkinaFaso
n1631	Ghana
n16311631	Benin
n1636	CentralAfricanRepublic
n1638	Chad
n1644	Senegal
n16441644	CentralAfricanRepublic
n1797	Philippines
n18711871	China
n1880	Taiwan
n18831883	Taiwan
n18851885	Taiwan
n1886	Taiwan
n18881888	Taiwan
n18891889	Taiwan
n18931893	Taiwan
n1894	Taiwan
